#ncbi_taxid	cluster_id	protein_id
1110504	CL:0	1110504.MAGb_6180
1110504	CL:0	1110504.MAGb_6190
1110504	CL:0	1110504.MAGb_6200
1110504	CL:0	1110504.MAGb_6240
1110504	CL:0	1110504.MAGb_6250
1110504	CL:0	1110504.MAGb_6260
1110504	CL:0	1110504.MAGb_6270
1110504	CL:0	1110504.MAGb_6280
1110504	CL:0	1110504.MAGb_6290
1110504	CL:0	1110504.MAGb_6300
1110504	CL:0	1110504.MAGb_6310
1110504	CL:0	1110504.MAGb_6320
1110504	CL:0	1110504.MAGb_6330
1110504	CL:0	1110504.MAGb_6340
1110504	CL:0	1110504.MAGb_6350
1110504	CL:0	1110504.MAGb_6360
1110504	CL:0	1110504.MAGb_6370
1110504	CL:0	1110504.MAGb_6380
1110504	CL:0	1110504.MAGb_6390
1110504	CL:0	1110504.MAGb_6400
1110504	CL:0	1110504.MAGb_6410
1110504	CL:0	1110504.MAGb_6420
1110504	CL:0	1110504.MAGb_6430
1110504	CL:0	1110504.MAGb_6440
1110504	CL:0	1110504.MAGb_6450
1110504	CL:0	1110504.MAGb_6460
1110504	CL:0	1110504.MAGb_6470
1110504	CL:0	1110504.MAGb_6480
1110504	CL:0	1110504.MAGb_6490
1110504	CL:0	1110504.MAGb_6500
1110504	CL:0	1110504.MAGb_6510
1110504	CL:0	1110504.MAGb_6520
1110504	CL:0	1110504.MAGb_6530
1110504	CL:0	1110504.MAGb_6620
1110504	CL:0	1110504.MAGb_6630
1110504	CL:0	1110504.MAGb_6640
1110504	CL:0	1110504.MAGb_6650
1110504	CL:0	1110504.MAGb_6710
1110504	CL:0	1110504.MAGb_6720
1110504	CL:0	1110504.MAGb_6730
1110504	CL:0	1110504.MAGb_6740
1110504	CL:0	1110504.MAGb_6750
1110504	CL:0	1110504.MAGb_6760
1110504	CL:0	1110504.MAGb_6770
1110504	CL:0	1110504.MAGb_6780
1110504	CL:0	1110504.MAGb_6790
1110504	CL:0	1110504.MAGb_6800
1110504	CL:0	1110504.MAGb_6810
1110504	CL:0	1110504.MAGb_6820
1110504	CL:0	1110504.MAGb_6830
1110504	CL:0	1110504.MAGb_6840
1110504	CL:0	1110504.MAGb_6850
1110504	CL:0	1110504.MAGb_6860
1110504	CL:0	1110504.MAGb_6870
1110504	CL:0	1110504.MAGb_6890
1110504	CL:0	1110504.MAGb_6900
1110504	CL:0	1110504.MAGb_6910
1110504	CL:0	1110504.MAGb_6920
1110504	CL:0	1110504.MAGb_6930
1110504	CL:0	1110504.MAGb_6940
1110504	CL:0	1110504.MAGb_6950
1110504	CL:0	1110504.MAGb_6960
1110504	CL:0	1110504.MAGb_6970
1110504	CL:0	1110504.MAGb_6980
1110504	CL:0	1110504.MAGb_7000
1110504	CL:0	1110504.MAGb_7010
1110504	CL:0	1110504.MAGb_7020
1110504	CL:0	1110504.MAGb_7050
1110504	CL:0	1110504.MAGb_7060
1110504	CL:0	1110504.MAGb_7070
1110504	CL:0	1110504.MAGb_7080
1110504	CL:0	1110504.MAGb_7090
1110504	CL:0	1110504.MAGb_7100
1110504	CL:0	1110504.MAGb_7110
1110504	CL:0	1110504.MAGb_7120
1110504	CL:0	1110504.MAGb_7130
1110504	CL:0	1110504.MAGb_7140
1110504	CL:0	1110504.MAGb_7150
1110504	CL:0	1110504.MAGb_7160
1110504	CL:0	1110504.MAGb_7170
1110504	CL:0	1110504.MAGb_7180
1110504	CL:0	1110504.MAGb_7190
1110504	CL:0	1110504.MAGb_7200
1110504	CL:0	1110504.MAGb_7210
1110504	CL:0	1110504.MAGb_7220
1110504	CL:0	1110504.MAGb_7230
1110504	CL:0	1110504.MAGb_7240
1110504	CL:0	1110504.MAGb_7250
1110504	CL:0	1110504.MAGb_7260
1110504	CL:0	1110504.MAGb_7270
1110504	CL:0	1110504.MAGb_7280
1110504	CL:0	1110504.MAGb_7290
1110504	CL:0	1110504.MAGb_7300
1110504	CL:0	1110504.MAGb_7310
1110504	CL:0	1110504.MAGb_7320
1110504	CL:0	1110504.MAGb_7330
1110504	CL:0	1110504.MAGb_7340
1110504	CL:0	1110504.MAGb_7350
1110504	CL:0	1110504.MAGb_7360
1110504	CL:0	1110504.MAGb_7370
1110504	CL:0	1110504.MAGb_7380
1110504	CL:0	1110504.MAGb_7390
1110504	CL:0	1110504.MAGb_7400
1110504	CL:0	1110504.MAGb_7420
1110504	CL:0	1110504.MAGb_7430
1110504	CL:0	1110504.MAGb_7440
1110504	CL:0	1110504.MAGb_7450
1110504	CL:0	1110504.MAGb_7460
1110504	CL:0	1110504.MAGb_7470
1110504	CL:0	1110504.MAGb_7480
1110504	CL:0	1110504.MAGb_7490
1110504	CL:0	1110504.MAGb_7500
1110504	CL:0	1110504.MAGb_7510
1110504	CL:0	1110504.MAGb_7520
1110504	CL:0	1110504.MAGb_7530
1110504	CL:0	1110504.MAGb_7540
1110504	CL:0	1110504.MAGb_7550
1110504	CL:0	1110504.MAGb_7570
1110504	CL:0	1110504.MAGb_7580
1110504	CL:0	1110504.MAGb_7590
1110504	CL:0	1110504.MAGb_7600
1110504	CL:0	1110504.MAGb_7610
1110504	CL:0	1110504.MAGb_7620
1110504	CL:0	1110504.MAGb_7630
1110504	CL:0	1110504.MAGb_7640
1110504	CL:0	1110504.MAGb_7650
1110504	CL:0	1110504.MAGb_7660
1110504	CL:0	1110504.MAGb_7670
1110504	CL:0	1110504.MAGb_7680
1110504	CL:0	1110504.MAGb_7690
